height,neutral_density,electron_density,electron_temp,collision_frequency
50,5.64E+16,1.41E+06,289,5.18E+08
51,4.70E+16,2.82E+06,283,4.27E+08
52,3.92E+16,5.62E+06,277,3.52E+08
53,3.27E+16,1.07E+07,272,2.91E+08
54,2.73E+16,1.91E+07,266,2.40E+08
55,2.72E+16,3.09E+07,260,2.37E+08
56,1.89E+16,4.68E+07,255,1.63E+08
57,1.58E+16,6.46E+07,250,1.35E+08
58,1.32E+16,7.94E+07,244,1.11E+08
59,1.10E+16,8.91E+07,239,9.19E+07
60,9.16E+15,8.32E+07,234,7.57E+07
61,7.63E+15,7.41E+07,229,6.24E+07
62,6.36E+15,6.31E+07,225,5.15E+07
63,5.31E+15,5.13E+07,220,4.26E+07
64,4.42E+15,4.37E+07,216,3.51E+07
65,3.69E+15,4.90E+07,212,2.90E+07
66,3.08E+15,8.71E+07,208,2.40E+07
67,2.56E+15,1.91E+08,204,1.97E+07
68,2.14E+15,2.63E+08,200,1.63E+07
69,1.78E+15,3.55E+08,197,1.35E+07
70,1.49E+15,4.57E+08,193,1.12E+07
71,1.24E+15,5.50E+08,190,9.24E+06
72,1.03E+15,6.46E+08,187,7.62E+06
73,8.62E+14,7.59E+08,185,6.33E+06
74,7.18E+14,8.91E+08,182,5.24E+06
75,5.99E+14,1.05E+09,180,4.34E+06
76,4.99E+14,1.12E+09,178,3.60E+06
77,4.16E+14,1.17E+09,177,2.99E+06
78,3.47E+14,1.20E+09,175,2.48E+06
79,2.89E+14,1.23E+09,174,2.06E+06
80,2.41E+14,1.26E+09,173,1.71E+06
81,2.01E+14,1.29E+09,173,1.43E+06
82,1.68E+14,1.32E+09,173,1.19E+06
83,1.40E+14,1.35E+09,173,9.93E+05
84,1.17E+14,1.38E+09,173,8.31E+05
85,9.72E+13,1.38E+09,174,6.92E+05
86,8.11E+13,1.58E+09,175,5.79E+05
87,6.76E+13,2.51E+09,176,4.84E+05
88,5.64E+13,6.31E+09,177,4.06E+05
89,4.70E+13,1.12E+10,179,3.40E+05
90,3.92E+13,1.51E+10,182,2.85E+05
91,3.27E+13,2.00E+10,184,2.40E+05
92,2.72E+13,2.63E+10,187,2.01E+05
93,2.27E+13,3.47E+10,191,1.69E+05
94,1.89E+13,4.57E+10,195,1.42E+05
95,1.58E+13,6.03E+10,199,1.20E+05
96,1.32E+13,7.94E+10,203,1.02E+05
97,1.10E+13,9.77E+10,208,8.57E+04
98,9.15E+12,1.12E+11,213,7.22E+04
99,7.63E+12,1.23E+11,219,6.10E+04
100,6.36E+12,1.32E+11,225,5.16E+04