height,neutral_density
50,5.64E+16
51,4.70E+16
52,3.92E+16
53,3.27E+16
54,2.73E+16
55,2.72E+16
56,1.89E+16
57,1.58E+16
58,1.32E+16
59,1.10E+16
60,9.16E+15
61,7.63E+15
62,6.36E+15
63,5.31E+15
64,4.42E+15
65,3.69E+15
66,3.08E+15
67,2.56E+15
68,2.14E+15
69,1.78E+15
70,1.49E+15
71,1.24E+15
72,1.03E+15
73,8.62E+14
74,7.18E+14
75,5.99E+14
76,4.99E+14
77,4.16E+14
78,3.47E+14
79,2.89E+14
80,2.41E+14
81,2.01E+14
82,1.68E+14
83,1.40E+14
84,1.17E+14
85,9.72E+13
86,8.11E+13
87,6.76E+13
88,5.64E+13
89,4.70E+13
90,3.92E+13
91,3.27E+13
92,2.72E+13
93,2.27E+13
94,1.89E+13
95,1.58E+13
96,1.32E+13
97,1.10E+13
98,9.15E+12
99,7.63E+12
100,6.36E+12